topic,term,type
Economic Empowerment,small business support,pattern
Nutrition & Food access,SNAP,anchor term
Nutrition & Food access,snap,pattern
Animal Welfare,sow housing,anchor term
Animal Welfare,sow housing,pattern
Economic Empowerment,student debt,anchor term
Economic Empowerment,student debt,pattern
Economic Empowerment,student loans,anchor term
Economic Empowerment,student loans,pattern
International Reputational Risks,supply chain ethics,anchor term
International Reputational Risks,supply chain ethics,pattern
Climate Change & Sustainability,sustainable agriculture,anchor term
Climate Change & Sustainability,sustainable agriculture,pattern
Climate Change & Sustainability,sustainable finance,anchor term
Climate Change & Sustainability,sustainable finance,pattern
Climate Change & Sustainability,sustainable packaging,anchor term
Climate Change & Sustainability,sustainable packaging,pattern
Climate Change & Sustainability,sustainable sourcing,anchor term
Climate Change & Sustainability,sustainable sourcing,pattern
Racial Equity,systemic racism,anchor term
Racial Equity,systemic racism,pattern
Health Access,telehealth,anchor term
Health Access,telehealth,pattern
Crime & Safety,theft,anchor term
Crime & Safety,theft,pattern
Workers’ Rights,time off,anchor term
Workers’ Rights,time off,pattern
Climate Change & Sustainability,tornado,anchor term
Climate Change & Sustainability,tornado,pattern
International Reputational Risks,trade compliance,anchor term
International Reputational Risks,trade compliance,pattern
LGBTQ+ Equality,transgender rights,anchor term
LGBTQ+ Equality,transgender rights,pattern
Animal Welfare,US Livestock policy,anchor term
Animal Welfare,us livestock policy,pattern
Veterans' Rights,Veterans,anchor term
Veterans' Rights,veterans,pattern
Veterans' Rights,veterans day,anchor term
Veterans' Rights,veterans day,pattern
Elections & Administration,voter access,anchor term
Elections & Administration,voter access,pattern
Elections & Administration,voter registration,anchor term
Elections & Administration,voter registration,pattern
Elections & Administration,voter rights,anchor term
Elections & Administration,voter rights,pattern
Elections & Administration,voter suppression,anchor term
Elections & Administration,voter suppression,pattern
Elections & Administration,voting rights,anchor term
Elections & Administration,voting rights,pattern
Economic Empowerment,wealth gap,anchor term
Economic Empowerment,wealth gap,pattern
Nutrition & Food access,WIC,anchor term
Nutrition & Food access,wic,pattern
Climate Change & Sustainability,wildfire,anchor term
Climate Change & Sustainability,wildfire,pattern
Gender Equity,women's empowerment,anchor term
Gender Equity,women's empowerment,pattern
Reproductive Rights,women's health,anchor term
Reproductive Rights,women's health,pattern
Gender Equity,women's rights,anchor term
Gender Equity,women's rights,pattern
Crime & Safety,worker safety,anchor term
Crime & Safety,worker safety,pattern
Workers’ Rights,Workers' Rights,anchor term
Workers’ Rights,workers' rights,pattern
Workers’ Rights,working conditions,anchor term
Workers’ Rights,working conditions,pattern
Workers’ Rights,workplace equity,anchor term
Workers’ Rights,workplace equity,pattern
Workers’ Rights,Workplace Fairness,anchor term
Workers’ Rights,workplace fairness,pattern
